,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
0,2023-09-22,1.5628,1.5628,,,1,1.59,开放申购,开放赎回,,,,
1,2023-09-21,1.5384,1.5384,,,1,-0.84,开放申购,开放赎回,,,,
2,2023-09-20,1.5515,1.5515,,,1,-0.33,开放申购,开放赎回,,,,
3,2023-09-19,1.5567,1.5567,,,1,-0.15,开放申购,开放赎回,,,,
4,2023-09-18,1.5590,1.5590,,,1,0.43,开放申购,开放赎回,,,,
5,2023-09-15,1.5523,1.5523,,,1,-0.66,开放申购,开放赎回,,,,
6,2023-09-14,1.5626,1.5626,,,1,-0.02,开放申购,开放赎回,,,,
7,2023-09-13,1.5629,1.5629,,,1,-0.60,开放申购,开放赎回,,,,
8,2023-09-12,1.5724,1.5724,,,1,-0.18,开放申购,开放赎回,,,,
9,2023-09-11,1.5753,1.5753,,,1,0.74,开放申购,开放赎回,,,,
10,2023-09-08,1.5638,1.5638,,,1,-0.41,开放申购,开放赎回,,,,
11,2023-09-07,1.5702,1.5702,,,1,-1.29,开放申购,开放赎回,,,,
12,2023-09-06,1.5907,1.5907,,,1,-0.16,开放申购,开放赎回,,,,
13,2023-09-05,1.5933,1.5933,,,1,-0.71,开放申购,开放赎回,,,,
14,2023-09-04,1.6047,1.6047,,,1,1.35,开放申购,开放赎回,,,,
15,2023-09-01,1.5833,1.5833,,,1,0.67,开放申购,开放赎回,,,,
16,2023-08-31,1.5727,1.5727,,,1,-0.55,开放申购,开放赎回,,,,
17,2023-08-30,1.5814,1.5814,,,1,-0.16,开放申购,开放赎回,,,,
18,2023-08-29,1.5839,1.5839,,,1,0.83,开放申购,开放赎回,,,,
19,2023-08-28,1.5708,1.5708,,,1,1.15,开放申购,开放赎回,,,,
20,2023-08-25,1.5530,1.5530,,,1,-0.22,开放申购,开放赎回,,,,
21,2023-08-24,1.5564,1.5564,,,1,0.41,开放申购,开放赎回,,,,
22,2023-08-23,1.5500,1.5500,,,1,-1.41,开放申购,开放赎回,,,,
23,2023-08-22,1.5722,1.5722,,,1,0.69,开放申购,开放赎回,,,,
24,2023-08-21,1.5614,1.5614,,,1,-1.25,开放申购,开放赎回,,,,
25,2023-08-18,1.5811,1.5811,,,1,-1.01,开放申购,开放赎回,,,,
26,2023-08-17,1.5972,1.5972,,,1,0.25,开放申购,开放赎回,,,,
27,2023-08-16,1.5932,1.5932,,,1,-0.56,开放申购,开放赎回,,,,
28,2023-08-15,1.6022,1.6022,,,1,-0.06,开放申购,开放赎回,,,,
29,2023-08-14,1.6032,1.6032,,,1,-0.72,开放申购,开放赎回,,,,
30,2023-08-11,1.6148,1.6148,,,1,-1.98,开放申购,开放赎回,,,,
31,2023-08-10,1.6474,1.6474,,,1,0.29,开放申购,开放赎回,,,,
32,2023-08-09,1.6426,1.6426,,,1,-0.15,开放申购,开放赎回,,,,
33,2023-08-08,1.6451,1.6451,,,1,-0.24,开放申购,开放赎回,,,,
34,2023-08-07,1.6491,1.6491,,,1,-0.73,开放申购,开放赎回,,,,
35,2023-08-04,1.6612,1.6612,,,1,0.48,开放申购,开放赎回,,,,
36,2023-08-03,1.6533,1.6533,,,1,0.82,开放申购,开放赎回,,,,
37,2023-08-02,1.6398,1.6398,,,1,-0.67,开放申购,开放赎回,,,,
38,2023-08-01,1.6508,1.6508,,,1,-0.39,开放申购,开放赎回,,,,
39,2023-07-31,1.6572,1.6572,,,1,0.53,开放申购,开放赎回,,,,
40,2023-07-28,1.6485,1.6485,,,1,2.25,开放申购,开放赎回,,,,
41,2023-07-27,1.6122,1.6122,,,1,-0.15,开放申购,开放赎回,,,,
42,2023-07-26,1.6146,1.6146,,,1,-0.17,开放申购,开放赎回,,,,
43,2023-07-25,1.6174,1.6174,,,1,2.65,开放申购,开放赎回,,,,
